TOPIC MEASURE,CODING SYSTEM,CODE,MODIFIER,PLACE OF SERVICE,END DATE
1,C4,99335,N/A,N/A,
1,C4,99336,N/A,N/A,
1,C4,99337,N/A,N/A,
1,C4,99341,N/A,N/A,
1,C4,99342,N/A,N/A,
1,C4,99343,N/A,N/A,
1,C4,99344,N/A,N/A,
1,C4,99345,N/A,N/A,
1,C4,99347,N/A,N/A,
1,C4,99348,N/A,N/A,
1,C4,99349,N/A,N/A,
1,C4,99350,N/A,N/A,
1,CPT_II,3044F,N/A,N/A,
1,CPT_II,3045F,N/A,N/A,
1,CPT_II,3046F,8P,N/A,
1,CPT_II,3046F,N/A,N/A,
1,CPT_II,3048F,N/A,N/A,
1,HCPCS,G0270,N/A,N/A,
1,HCPCS,G0271,N/A,N/A,
2,I9,250.00,N/A,N/A,
2,I9,250.01,N/A,N/A,
2,I9,250.02,N/A,N/A,
2,I9,250.03,N/A,N/A,
2,I9,250.10,N/A,N/A,
2,I9,250.11,N/A,N/A,
2,I9,250.12,N/A,N/A,
2,I9,250.13,N/A,N/A,
2,I9,250.20,N/A,N/A,
2,I9,250.21,N/A,N/A,
2,I9,250.22,N/A,N/A,
2,I9,250.23,N/A,N/A,
2,I9,250.30,N/A,N/A,
2,I9,250.31,N/A,N/A,
2,I9,250.32,N/A,N/A,
2,I9,250.33,N/A,N/A,
2,I9,250.40,N/A,N/A,
2,I9,250.41,N/A,N/A,
2,I9,250.42,N/A,N/A,
2,I9,250.43,N/A,N/A,
2,I9,250.50,N/A,N/A,
2,I9,250.51,N/A,N/A,
2,I9,250.52,N/A,N/A,
2,I9,250.53,N/A,N/A,
2,I9,250.60,N/A,N/A,
2,I9,250.61,N/A,N/A,
2,I9,250.62,N/A,N/A,
2,I9,250.63,N/A,N/A,
2,I9,250.70,N/A,N/A,
2,I9,250.71,N/A,N/A,
2,I9,250.72,N/A,N/A,
2,I9,250.73,N/A,N/A,
2,I9,250.80,N/A,N/A,
2,I9,250.81,N/A,N/A,
2,I9,250.82,N/A,N/A,
2,I9,250.83,N/A,N/A,
2,I9,250.90,N/A,N/A,
2,I9,250.91,N/A,N/A,
2,I9,250.92,N/A,N/A,
2,I9,250.93,N/A,N/A,
2,I9,357.2,N/A,N/A,
2,I9,362.01,N/A,N/A,
2,I9,362.02,N/A,N/A,
2,I9,362.03,N/A,N/A,
2,I9,362.04,N/A,N/A,
2,I9,362.05,N/A,N/A,
2,I9,362.06,N/A,N/A,
2,I9,362.07,N/A,N/A,
2,I9,366.41,N/A,N/A,
2,I9,648.00,N/A,N/A,
2,I9,648.01,N/A,N/A,
2,I9,648.02,N/A,N/A,
2,I9,648.03,N/A,N/A,
2,I9,648.04,N/A,N/A,
2,C4,97802,N/A,N/A,
2,C4,97803,N/A,N/A,
2,C4,97804,N/A,N/A,
2,C4,99201,N/A,N/A,
2,C4,99202,N/A,N/A,
2,C4,99203,N/A,N/A,
2,C4,99204,N/A,N/A,
2,C4,99205,N/A,N/A,
2,C4,99212,N/A,N/A,
2,C4,99213,N/A,N/A,
2,C4,99214,N/A,N/A,
2,C4,99215,N/A,N/A,
2,C4,99304,N/A,N/A,
2,C4,99305,N/A,N/A,
2,C4,99306,N/A,N/A,
2,C4,99307,N/A,N/A,
2,C4,99308,N/A,N/A,
2,C4,99309,N/A,N/A,
2,C4,99310,N/A,N/A,
2,C4,99324,N/A,N/A,
2,C4,99325,N/A,N/A,
2,C4,99326,N/A,N/A,
2,C4,99327,N/A,N/A,
2,C4,99328,N/A,N/A,
2,C4,99334,N/A,N/A,
2,C4,99335,N/A,N/A,
2,C4,99336,N/A,N/A,
2,C4,99337,N/A,N/A,
2,C4,99341,N/A,N/A,
2,C4,99342,N/A,N/A,
2,C4,99343,N/A,N/A,
2,C4,99344,N/A,N/A,
2,C4,99345,N/A,N/A,
2,C4,99347,N/A,N/A,
2,C4,99348,N/A,N/A,
2,C4,99349,N/A,N/A,
2,C4,99350,N/A,N/A,
2,CPT_II,3048F,8P,N/A,
2,CPT_II,3048F,N/A,N/A,
2,CPT_II,3049F,N/A,N/A,
2,CPT_II,3050F,N/A,N/A,
2,HCPCS,G0270,N/A,N/A,
2,HCPCS,G0271,N/A,N/A,
3,I9,250.00,N/A,N/A,
3,I9,250.01,N/A,N/A,
3,I9,250.02,N/A,N/A,
3,I9,250.03,N/A,N/A,
3,I9,250.10,N/A,N/A,
3,I9,250.11,N/A,N/A,
3,I9,250.12,N/A,N/A,
3,I9,250.13,N/A,N/A,
3,I9,250.20,N/A,N/A,
3,I9,250.21,N/A,N/A,
3,I9,250.22,N/A,N/A,
3,I9,250.23,N/A,N/A,
3,I9,250.30,N/A,N/A,
3,I9,250.31,N/A,N/A,
3,I9,250.32,N/A,N/A,
3,I9,250.33,N/A,N/A,
3,I9,250.40,N/A,N/A,
3,I9,250.41,N/A,N/A,
3,I9,250.42,N/A,N/A,
3,I9,250.43,N/A,N/A,
3,I9,250.50,N/A,N/A,
3,I9,250.51,N/A,N/A,
3,I9,250.52,N/A,N/A,
3,I9,250.53,N/A,N/A,
3,I9,250.60,N/A,N/A,
3,I9,250.61,N/A,N/A,
3,I9,250.62,N/A,N/A,
3,I9,250.63,N/A,N/A,
3,I9,250.70,N/A,N/A,
3,I9,250.71,N/A,N/A,
3,I9,250.72,N/A,N/A,
3,I9,250.73,N/A,N/A,
3,I9,250.80,N/A,N/A,
3,I9,250.81,N/A,N/A,
3,I9,250.82,N/A,N/A,
3,I9,250.83,N/A,N/A,
3,I9,250.90,N/A,N/A,
3,I9,250.91,N/A,N/A,
3,I9,250.92,N/A,N/A,
3,I9,250.93,N/A,N/A,
3,I9,357.2,N/A,N/A,
3,I9,362.01,N/A,N/A,
3,I9,362.02,N/A,N/A,
3,I9,362.03,N/A,N/A,
3,I9,362.04,N/A,N/A,
3,I9,362.05,N/A,N/A,
3,I9,362.06,N/A,N/A,
3,I9,362.07,N/A,N/A,
3,I9,366.41,N/A,N/A,
3,I9,648.00,N/A,N/A,
3,I9,648.01,N/A,N/A,
3,I9,648.02,N/A,N/A,
3,I9,648.03,N/A,N/A,
3,I9,648.04,N/A,N/A,
3,C4,97802,N/A,N/A,
3,C4,97803,N/A,N/A,
3,C4,97804,N/A,N/A,
3,C4,99201,N/A,N/A,
3,C4,99202,N/A,N/A,
3,C4,99203,N/A,N/A,
3,C4,99204,N/A,N/A,
3,C4,99205,N/A,N/A,
3,C4,99212,N/A,N/A,
3,C4,99213,N/A,N/A,
3,C4,99214,N/A,N/A,
3,C4,99215,N/A,N/A,
3,C4,99304,N/A,N/A,
3,C4,99305,N/A,N/A,
3,C4,99306,N/A,N/A,
3,C4,99307,N/A,N/A,
3,C4,99308,N/A,N/A,
3,C4,99309,N/A,N/A,
3,C4,99310,N/A,N/A,
3,C4,99324,N/A,N/A,
3,C4,99325,N/A,N/A,
3,C4,99326,N/A,N/A,
3,C4,99327,N/A,N/A,
3,C4,99328,N/A,N/A,
3,C4,99334,N/A,N/A,
3,C4,99335,N/A,N/A,
3,C4,99336,N/A,N/A,
3,C4,99337,N/A,N/A,
3,C4,99341,N/A,N/A,
3,C4,99342,N/A,N/A,
3,C4,99343,N/A,N/A,
3,C4,99344,N/A,N/A,
3,C4,99345,N/A,N/A,
3,C4,99347,N/A,N/A,
3,C4,99348,N/A,N/A,
3,C4,99349,N/A,N/A,
3,C4,99350,N/A,N/A,
3,CPT_II,2000F,8P,N/A,
3,CPT_II,3074F,N/A,N/A,
3,CPT_II,3075F,N/A,N/A,
3,CPT_II,3077F,N/A,N/A,
3,CPT_II,3078F,N/A,N/A,
3,CPT_II,3079F,N/A,N/A,
3,CPT_II,3080F,N/A,N/A,
3,HCPCS,G0270,N/A,N/A,
3,HCPCS,G0271,N/A,N/A,
5,I9,402.01,N/A,N/A,
5,I9,402.11,N/A,N/A,
5,I9,402.91,N/A,N/A,
5,I9,404.01,N/A,N/A,
5,I9,404.03,N/A,N/A,
5,I9,404.11,N/A,N/A,
5,I9,404.13,N/A,N/A,
5,I9,404.91,N/A,N/A,
5,I9,404.93,N/A,N/A,
5,I9,428.0,N/A,N/A,
5,I9,428.1,N/A,N/A,
5,I9,428.20,N/A,N/A,
5,I9,428.21,N/A,N/A,
5,I9,428.22,N/A,N/A,
5,I9,428.23,N/A,N/A,
5,I9,428.30,N/A,N/A,
5,I9,428.31,N/A,N/A,
5,I9,428.32,N/A,N/A,
5,I9,428.33,N/A,N/A,
5,I9,428.40,N/A,N/A,
5,I9,428.41,N/A,N/A,
5,I9,428.42,N/A,N/A,
5,I9,428.43,N/A,N/A,
5,I9,428.9,N/A,N/A,
5,C4,99201,N/A,N/A,
5,C4,99202,N/A,N/A,
5,C4,99203,N/A,N/A,
5,C4,99204,N/A,N/A,
5,C4,99205,N/A,N/A,
5,C4,99212,N/A,N/A,
5,C4,99213,N/A,N/A,
5,C4,99214,N/A,N/A,
5,C4,99215,N/A,N/A,
5,C4,99238,N/A,N/A,
5,C4,99239,N/A,N/A,
5,C4,99304,N/A,N/A,
5,C4,99305,N/A,N/A,
5,C4,99306,N/A,N/A,
5,C4,99307,N/A,N/A,
5,C4,99308,N/A,N/A,
5,C4,99309,N/A,N/A,
5,C4,99310,N/A,N/A,
5,C4,99324,N/A,N/A,
5,C4,99325,N/A,N/A,
5,C4,99326,N/A,N/A,
5,C4,99327,N/A,N/A,
5,C4,99328,N/A,N/A,
5,C4,99334,N/A,N/A,
5,C4,99335,N/A,N/A,
5,C4,99336,N/A,N/A,
5,C4,99337,N/A,N/A,
5,C4,99341,N/A,N/A,
5,C4,99342,N/A,N/A,
5,C4,99343,N/A,N/A,
5,C4,99344,N/A,N/A,
5,C4,99345,N/A,N/A,
5,C4,99347,N/A,N/A,
5,C4,99348,N/A,N/A,
5,C4,99349,N/A,N/A,
5,C4,99350,N/A,N/A,
5,CPT_II,3021F,8P,N/A,
5,CPT_II,3021F,N/A,N/A,
5,CPT_II,3022F,N/A,N/A,
5,CPT_II,4010F,1P ,N/A,
5,CPT_II,4010F,2P ,N/A,
5,CPT_II,4010F,3P,N/A,
5,CPT_II,4010F,8P ,N/A,
5,CPT_II,4010F,N/A,N/A,
6,I9,410.00,N/A,N/A,
6,I9,410.01,N/A,N/A,
6,I9,410.02,N/A,N/A,
6,I9,410.10,N/A,N/A,
6,I9,410.11,N/A,N/A,
6,I9,410.12,N/A,N/A,
6,I9,410.20,N/A,N/A,
6,I9,410.21,N/A,N/A,
6,I9,410.22,N/A,N/A,
6,I9,410.30,N/A,N/A,
6,I9,410.31,N/A,N/A,
6,I9,410.32,N/A,N/A,
6,I9,410.40,N/A,N/A,
6,I9,410.41,N/A,N/A,
6,I9,410.42,N/A,N/A,
6,I9,410.50,N/A,N/A,
6,I9,410.51,N/A,N/A,
6,I9,410.52,N/A,N/A,
6,I9,410.60,N/A,N/A,
6,I9,410.61,N/A,N/A,
6,I9,410.62,N/A,N/A,
6,I9,410.70,N/A,N/A,
6,I9,410.71,N/A,N/A,
6,I9,410.72,N/A,N/A,
6,I9,410.80,N/A,N/A,
6,I9,410.81,N/A,N/A,
6,I9,410.82,N/A,N/A,
6,I9,410.90,N/A,N/A,
6,I9,410.91,N/A,N/A,
6,I9,410.92,N/A,N/A,
6,I9,411.0,N/A,N/A,
6,I9,411.1,N/A,N/A,
6,I9,411.81,N/A,N/A,
6,I9,411.89,N/A,N/A,
6,I9,412,N/A,N/A,
6,I9,413.0,N/A,N/A,
6,I9,413.1,N/A,N/A,
6,I9,413.9,N/A,N/A,
6,I9,414.00,N/A,N/A,
6,I9,414.01,N/A,N/A,
6,I9,414.02,N/A,N/A,
6,I9,414.03,N/A,N/A,
6,I9,414.04,N/A,N/A,
6,I9,414.05,N/A,N/A,
6,I9,414.06,N/A,N/A,
6,I9,414.07,N/A,N/A,
6,I9,414.2,N/A,N/A,
6,I9,414.3,N/A,N/A,
6,I9,414.8,N/A,N/A,
6,I9,414.9,N/A,N/A,
6,C4,99201,N/A,N/A,
6,C4,99202,N/A,N/A,
6,C4,99203,N/A,N/A,
6,C4,99204,N/A,N/A,
6,C4,99205,N/A,N/A,
6,C4,99212,N/A,N/A,
6,C4,99213,N/A,N/A,
6,C4,99214,N/A,N/A,
6,C4,99215,N/A,N/A,
6,C4,99304,N/A,N/A,
6,C4,99305,N/A,N/A,
6,C4,99306,N/A,N/A,
6,C4,99307,N/A,N/A,
6,C4,99308,N/A,N/A,
6,C4,99309,N/A,N/A,
6,C4,99310,N/A,N/A,
6,C4,99324,N/A,N/A,
6,C4,99325,N/A,N/A,
6,C4,99326,N/A,N/A,
6,C4,99327,N/A,N/A,
6,C4,99328,N/A,N/A,
6,C4,99334,N/A,N/A,
6,C4,99335,N/A,N/A,
6,C4,99336,N/A,N/A,
6,C4,99337,N/A,N/A,
6,C4,99341,N/A,N/A,
6,C4,99342,N/A,N/A,
6,C4,99343,N/A,N/A,
6,C4,99344,N/A,N/A,
6,C4,99345,N/A,N/A,
6,C4,99347,N/A,N/A,
6,C4,99348,N/A,N/A,
6,C4,99349,N/A,N/A,
6,C4,99350,N/A,N/A,
6,CPT_II,4086F,1P  ,N/A,
6,CPT_II,4086F,2P ,N/A,
6,CPT_II,4086F,3P  ,N/A,
6,CPT_II,4086F,8P,N/A,
6,CPT_II,4086F,8P  ,N/A,
6,CPT_II,4086F,N/A,N/A,
6,I9,V45.81,N/A,N/A,
6,I9,V45.82,N/A,N/A,
7,I9,410.00,N/A,N/A,
7,I9,410.01,N/A,N/A,
7,I9,410.02,N/A,N/A,
7,I9,410.10,N/A,N/A,
7,I9,410.11,N/A,N/A,
7,I9,410.12,N/A,N/A,
7,I9,410.20,N/A,N/A,
7,I9,410.21,N/A,N/A,
7,I9,410.22,N/A,N/A,
7,I9,410.30,N/A,N/A,
7,I9,410.31,N/A,N/A,
7,I9,410.32,N/A,N/A,
7,I9,410.40,N/A,N/A,
7,I9,410.41,N/A,N/A,
7,I9,410.42,N/A,N/A,
7,I9,410.50,N/A,N/A,
7,I9,410.51,N/A,N/A,
7,I9,410.52,N/A,N/A,
7,I9,410.60,N/A,N/A,
7,I9,410.61,N/A,N/A,
7,I9,410.62,N/A,N/A,
7,I9,410.70,N/A,N/A,
7,I9,410.71,N/A,N/A,
7,I9,410.72,N/A,N/A,
7,I9,410.80,N/A,N/A,
7,I9,410.81,N/A,N/A,
7,I9,410.82,N/A,N/A,
7,I9,410.90,N/A,N/A,
7,I9,410.91,N/A,N/A,
7,I9,410.92,N/A,N/A,
7,I9,411.0,N/A,N/A,
7,I9,411.1,N/A,N/A,
7,I9,411.81,N/A,N/A,
7,I9,411.89,N/A,N/A,
7,I9,412,N/A,N/A,
7,I9,413.0,N/A,N/A,
7,I9,413.1,N/A,N/A,
7,I9,413.9,N/A,N/A,
7,I9,414.00,N/A,N/A,
7,I9,414.01,N/A,N/A,
7,I9,414.02,N/A,N/A,
7,I9,414.03,N/A,N/A,
7,I9,414.04,N/A,N/A,
7,I9,414.05,N/A,N/A,
7,I9,414.06,N/A,N/A,
7,I9,414.07,N/A,N/A,
7,I9,414.2,N/A,N/A,
7,I9,414.3,N/A,N/A,
7,I9,414.8,N/A,N/A,
7,I9,414.9,N/A,N/A,
7,C4,99201,N/A,N/A,
7,C4,99202,N/A,N/A,
7,C4,99203,N/A,N/A,
7,C4,99204,N/A,N/A,
7,C4,99205,N/A,N/A,
7,C4,99212,N/A,N/A,
7,C4,99213,N/A,N/A,
7,C4,99214,N/A,N/A,
7,C4,99215,N/A,N/A,
7,C4,99304,N/A,N/A,
7,C4,99305,N/A,N/A,
7,C4,99306,N/A,N/A,
7,C4,99307,N/A,N/A,
7,C4,99308,N/A,N/A,
7,C4,99309,N/A,N/A,
7,C4,99310,N/A,N/A,
7,C4,99324,N/A,N/A,
7,C4,99325,N/A,N/A,
7,C4,99326,N/A,N/A,
7,C4,99327,N/A,N/A,
7,C4,99328,N/A,N/A,
7,C4,99334,N/A,N/A,
7,C4,99335,N/A,N/A,
7,C4,99336,N/A,N/A,
7,C4,99337,N/A,N/A,
7,C4,99341,N/A,N/A,
7,C4,99342,N/A,N/A,
7,C4,99343,N/A,N/A,
7,C4,99344,N/A,N/A,
7,C4,99345,N/A,N/A,
7,C4,99347,N/A,N/A,
7,C4,99348,N/A,N/A,
7,C4,99349,N/A,N/A,
7,C4,99350,N/A,N/A,
7,CPT_II,4008F,1P ,N/A,
7,CPT_II,4008F,2P,N/A,
7,CPT_II,4008F,3P ,N/A,
7,CPT_II,4008F,8P ,N/A,
7,CPT_II,4008F,N/A,N/A,
7,HCPCS,G8694,N/A,N/A,
7,HCPCS,G8695,N/A,N/A,
7,I9,V45.81,N/A,N/A,
7,I9,V45.82,N/A,N/A,
8,I9,402.01,N/A,N/A,
8,I9,402.11,N/A,N/A,
8,I9,402.91,N/A,N/A,
8,I9,404.01,N/A,N/A,
8,I9,404.03,N/A,N/A,
8,I9,404.11,N/A,N/A,
8,I9,404.13,N/A,N/A,
8,I9,404.91,N/A,N/A,
8,I9,404.93,N/A,N/A,
8,I9,428.0,N/A,N/A,
8,I9,428.1,N/A,N/A,
8,I9,428.20,N/A,N/A,
8,I9,428.21,N/A,N/A,
8,I9,428.22,N/A,N/A,
8,I9,428.23,N/A,N/A,
8,I9,428.30,N/A,N/A,
8,I9,428.31,N/A,N/A,
8,I9,428.32,N/A,N/A,
8,I9,428.33,N/A,N/A,
8,I9,428.40,N/A,N/A,
8,I9,428.41,N/A,N/A,
8,I9,428.42,N/A,N/A,
8,I9,428.43,N/A,N/A,
8,I9,428.9,N/A,N/A,
8,C4,99201,N/A,N/A,
8,C4,99202,N/A,N/A,
8,C4,99203,N/A,N/A,
8,C4,99204,N/A,N/A,
8,C4,99205,N/A,N/A,
8,C4,99212,N/A,N/A,
8,C4,99213,N/A,N/A,
8,C4,99214,N/A,N/A,
8,C4,99215,N/A,N/A,
8,C4,99238,N/A,N/A,
8,C4,99239,N/A,N/A,
8,C4,99304,N/A,N/A,
8,C4,99305,N/A,N/A,
8,C4,99306,N/A,N/A,
8,C4,99307,N/A,N/A,
8,C4,99308,N/A,N/A,
8,C4,99309,N/A,N/A,
8,C4,99310,N/A,N/A,
8,C4,99324,N/A,N/A,
8,C4,99325,N/A,N/A,
8,C4,99326,N/A,N/A,
8,C4,99327,N/A,N/A,
8,C4,99328,N/A,N/A,
8,C4,99334,N/A,N/A,
8,C4,99335,N/A,N/A,
8,C4,99336,N/A,N/A,
8,C4,99337,N/A,N/A,
8,C4,99341,N/A,N/A,
8,C4,99342,N/A,N/A,
8,C4,99343,N/A,N/A,
8,C4,99344,N/A,N/A,
8,C4,99345,N/A,N/A,
8,C4,99347,N/A,N/A,
8,C4,99348,N/A,N/A,
8,C4,99349,N/A,N/A,
8,C4,99350,N/A,N/A,
8,HCPCS,G8395,N/A,N/A,
8,HCPCS,G8396,N/A,N/A,
8,HCPCS,G8450,N/A,N/A,
8,HCPCS,G8451,N/A,N/A,
8,HCPCS,G8452,N/A,N/A,
9,I9,296.20,N/A,N/A,
9,I9,296.21,N/A,N/A,
9,I9,296.22,N/A,N/A,
9,I9,296.23,N/A,N/A,
9,I9,296.24,N/A,N/A,
9,I9,296.25,N/A,N/A,
9,I9,296.30,N/A,N/A,
9,I9,296.31,N/A,N/A,
9,I9,296.32,N/A,N/A,
9,I9,296.33,N/A,N/A,
9,I9,296.34,N/A,N/A,
9,I9,296.35,N/A,N/A,
9,I9,298.0,N/A,N/A,
9,I9,300.4,N/A,N/A,
9,I9,309.0,N/A,N/A,
9,I9,309.1,N/A,N/A,
9,I9,311,N/A,N/A,
9,C4,90801,N/A,N/A,
9,C4,90802,N/A,N/A,
9,C4,90804,N/A,N/A,
9,C4,90805,N/A,N/A,
9,C4,90806,N/A,N/A,
9,C4,90807,N/A,N/A,
9,C4,90808,N/A,N/A,
9,C4,90809,N/A,N/A,
9,C4,90810,N/A,N/A,
9,C4,90811,N/A,N/A,
9,C4,90812,N/A,N/A,
9,C4,90813,N/A,N/A,
9,C4,90814,N/A,N/A,
9,C4,90815,N/A,N/A,
9,C4,90821,N/A,N/A,
9,C4,90822,N/A,N/A,
9,C4,90823,N/A,N/A,
9,C4,90824,N/A,N/A,
9,C4,90829,N/A,N/A,
9,C4,90845,N/A,N/A,
9,C4,90849,N/A,N/A,
9,C4,90853,N/A,N/A,
9,C4,90857,N/A,N/A,
9,C4,90862,N/A,N/A,
9,C4,99078,N/A,N/A,
9,C4,99201,N/A,N/A,
9,C4,99202,N/A,N/A,
9,C4,99203,N/A,N/A,
9,C4,99204,N/A,N/A,
9,C4,99205,N/A,N/A,
9,C4,99212,N/A,N/A,
9,C4,99213,N/A,N/A,
9,C4,99214,N/A,N/A,
9,C4,99215,N/A,N/A,
9,C4,99341,N/A,N/A,
9,C4,99342,N/A,N/A,
9,C4,99343,N/A,N/A,
9,C4,99344,N/A,N/A,
9,C4,99345,N/A,N/A,
9,C4,99347,N/A,N/A,
9,C4,99348,N/A,N/A,
9,C4,99349,N/A,N/A,
9,C4,99350,N/A,N/A,
9,HCPCS,G8126,N/A,N/A,
9,HCPCS,G8127,N/A,N/A,
9,HCPCS,G8128,N/A,N/A,
10,I9,368.12,N/A,N/A,
10,I9,368.2,N/A,N/A,
10,I9,386.2,N/A,N/A,
10,I9,430,N/A,N/A,
10,I9,431,N/A,N/A,
10,I9,432.0,N/A,N/A,
10,I9,432.1,N/A,N/A,
10,I9,432.9,N/A,N/A,
10,I9,433.01,N/A,N/A,
10,I9,433.11,N/A,N/A,
10,I9,433.21,N/A,N/A,
10,I9,433.31,N/A,N/A,
10,I9,433.81,N/A,N/A,
10,I9,433.91,N/A,N/A,
10,I9,434.01,N/A,N/A,
10,I9,434.11,N/A,N/A,
10,I9,434.91,N/A,N/A,
10,I9,435.0,N/A,N/A,
10,I9,435.1,N/A,N/A,
10,I9,435.2,N/A,N/A,
10,I9,435.3,N/A,N/A,
10,I9,435.8,N/A,N/A,
10,I9,435.9,N/A,N/A,
10,I9,437.7,N/A,N/A,
10,I9,780.02,N/A,N/A,
10,I9,781.3,N/A,N/A,
10,I9,781.4,N/A,N/A,
10,I9,781.94,N/A,N/A,
10,I9,782.0,N/A,N/A,
10,I9,784.3,N/A,N/A,
10,I9,784.51,N/A,N/A,
10,I9,784.59,N/A,N/A,
10,C4,70450,? TC,N/A,
10,C4,70460,? TC,N/A,
10,C4,70470,? TC,N/A,
10,C4,70551,? TC,N/A,
10,C4,70552,? TC,N/A,
10,C4,70553,? TC,N/A,
10,C4,0042T,? TC,N/A,
10,CPT_II,3110F,8P,N/A,
10,CPT_II,3110F,N/A,N/A,
10,CPT_II,3111F,N/A,N/A,
10,CPT_II,3112F,N/A,N/A,
12,I9,365.10,N/A,N/A,
12,I9,365.11,N/A,N/A,
12,I9,365.12,N/A,N/A,
12,I9,365.15,N/A,N/A,
12,I9,365.70,N/A,N/A,
12,I9,365.71,N/A,N/A,
12,I9,365.72,N/A,N/A,
12,I9,365.73,N/A,N/A,
12,I9,365.74,N/A,N/A,
12,C4,92002,N/A,N/A,
12,C4,92004,N/A,N/A,
12,C4,92012,N/A,N/A,
12,C4,92014,N/A,N/A,
12,C4,99201,N/A,N/A,
12,C4,99202,N/A,N/A,
12,C4,99203,N/A,N/A,
12,C4,99204,N/A,N/A,
12,C4,99205,N/A,N/A,
12,C4,99212,N/A,N/A,
12,C4,99213,N/A,N/A,
12,C4,99214,N/A,N/A,
12,C4,99215,N/A,N/A,
12,C4,99304,N/A,N/A,
12,C4,99305,N/A,N/A,
12,C4,99306,N/A,N/A,
12,C4,99307,N/A,N/A,
12,C4,99308,N/A,N/A,
12,C4,99309,N/A,N/A,
12,C4,99310,N/A,N/A,
12,C4,99324,N/A,N/A,
12,C4,99325,N/A,N/A,
12,C4,99326,N/A,N/A,
12,C4,99327,N/A,N/A,
12,C4,99328,N/A,N/A,
12,C4,99334,N/A,N/A,
12,C4,99335,N/A,N/A,
12,C4,99336,N/A,N/A,
12,C4,99337,N/A,N/A,
12,CPT_II,2027F,1P,N/A,
12,CPT_II,2027F,8P,N/A,
12,CPT_II,2027F,N/A,N/A,
14,I9,362.50,N/A,N/A,
14,I9,362.51,N/A,N/A,
14,I9,362.52,N/A,N/A,
14,C4,92002,N/A,N/A,
14,C4,92004,N/A,N/A,
14,C4,92012,N/A,N/A,
14,C4,92014,N/A,N/A,
14,C4,99201,N/A,N/A,
14,C4,99202,N/A,N/A,
14,C4,99203,N/A,N/A,
14,C4,99204,N/A,N/A,
14,C4,99205,N/A,N/A,
14,C4,99212,N/A,N/A,
14,C4,99213,N/A,N/A,
14,C4,99214,N/A,N/A,
14,C4,99215,N/A,N/A,
14,C4,99304,N/A,N/A,
14,C4,99305,N/A,N/A,
14,C4,99306,N/A,N/A,
14,C4,99307,N/A,N/A,
14,C4,99308,N/A,N/A,
14,C4,99309,N/A,N/A,
