main_multum_drug_code,active_ingredient_code,ingredient_strength_code
316,5383,6488
317,5136,5978
318,4260,6001
319,4119,6504
319,4491,6152
323,4261,5966
324,4261,6703
325,4261,5966
326,4261,6263
327,4261,6596
328,4261,6703
329,4261,5966
330,4261,6264
331,4261,6704
332,4261,5967
333,4261,6597
334,4261,6704
335,4261,5967
337,4162,5976
338,4842,6751
339,4837,6712
340,4837,5976
341,5136,6153
342,4837,6289
343,4838,6378
344,4517,5976
345,4838,6751
346,4843,5912
347,4843,6389
348,4843,6763
349,4843,6001
350,4805,6009
350,4848,5927
351,4805,6755
351,5213,6009
352,4223,6538
352,4359,6306
353,4119,6504
353,4491,6488
356,5136,6378
357,4163,5773
358,4805,6306
358,5284,6640
360,4622,6001
361,4805,6504
361,5284,5976
362,4805,6504
362,5284,6289
363,4223,6538
363,4491,6488
364,4223,6538
364,4491,6856
365,4805,6867
365,5284,6640
366,4163,5774
367,4163,5773
368,5184,6162
369,5184,6504
370,5186,5925
371,5187,5846
372,5188,6712
373,5189,5834
374,4165,6751
375,5189,6651
376,5136,6751
377,5191,5767
378,5192,5976
379,5192,6377
380,5192,6749
381,5192,6954
382,5192,5981
383,4518,5866
384,4518,5916
387,4518,6243
390,4165,6390
391,5136,5981
392,4165,6880
393,4622,6162
394,4119,6504
394,4491,6856
395,5136,6295
396,5136,6712
397,4223,6763
397,4835,6712
398,5136,5976
399,4223,6538
399,5051,6306
400,4223,6538
400,5075,6651
403,4622,6001
404,5136,6289
405,4119,6897
405,4491,6488
406,5193,6389
408,4166,6712
409,4223,6538
409,5216,6258
409,5217,5810
410,4805,6306
410,5284,6712
410,5288,6679
412,4805,6009
412,5284,6719
412,5288,6295
413,5136,6488
414,4223,6538
414,5216,6624
414,5217,5852
415,4622,6162
416,5136,5976
417,4166,6712
417,4834,6749
418,5136,6152
419,5194,6032
420,5194,6031
421,5194,6319
422,5194,6784
423,5136,6488
424,5194,6784
425,4223,6538
425,5251,6081
426,4224,5976
427,4519,5912
429,5136,6152
431,4519,6241
432,4519,6001
433,4519,6306
434,4519,6763
435,5136,6488
436,4519,6377
437,4119,6538
437,4578,6001
437,4928,6894
439,4623,6389
440,4519,6749
442,5136,6856
444,5136,6001
445,5136,6306
446,4623,6763
447,5194,6030
448,5194,6030
449,5194,6030
450,5713,6712
451,5713,5976
452,4119,6763
452,4835,6712
453,4119,6763
453,4835,6712
454,4119,6766
454,4835,6717
455,4119,6766
455,4835,6929
456,4154,5972
457,4119,6763
457,4835,6267
458,4154,6284
459,4119,6763
459,4835,6927
460,4119,6897
460,4835,6927
461,4119,6897
461,4835,5976
462,4119,6960
462,4835,6927
463,4119,6763
463,5216,6712
464,4347,6081
465,4347,6377
466,4347,6749
467,4347,6001
468,4119,6540
468,5216,6719
469,4214,5916
470,4214,5866
471,4119,6538
471,5216,6712
472,4347,6377
472,4834,6152
473,4119,6763
473,5216,6712
474,4347,6377
474,4834,6377
475,4347,6749
475,4834,6152
476,4347,6749
476,4834,6377
477,4116,6250
478,4348,6640
478,5288,6954
479,4349,5722
480,4119,6538
480,4311,6749
480,4318,6640
481,4119,6538
481,4311,6749
481,4318,6640
482,4349,5895
483,4349,5945
484,4349,6257
485,4349,6435
486,4120,6140
486,4168,5967
486,5321,6730
487,4120,6385
487,4168,6463
487,5467,6191
488,4120,7025
488,4168,6704
488,5321,6730
489,4120,6040
489,4168,6726
489,5321,6730
490,4120,6673
490,4168,6729
490,4412,6438
490,5467,6710
491,4120,6693
491,4168,6732
491,4412,6332
492,4120,6855
492,4168,6844
492,4412,6521
493,4120,6943
493,4168,6917
493,5467,6918
494,4120,7039
494,4168,6993
494,4412,6558
494,5321,6730
495,4223,6538
495,4311,6749
495,4318,6640
496,4120,6063
496,4168,6055
497,4223,6538
497,4311,6749
497,4318,6640
498,4120,6044
498,4168,6144
498,5467,6882
499,4119,6897
499,5251,6377
500,4223,6538
500,4311,6749
500,4318,6640
500,4491,6488
501,4169,6390
502,4223,6564
502,4318,6488
502,4599,6184
503,4169,5934
504,4169,6763
505,4223,6590
505,4318,6488
505,5206,6377
506,4223,6973
506,4318,6856
506,5206,6749
508,4172,6378
510,4172,6389
511,4172,6042
512,4172,6763
513,4172,6001
514,4172,6306
515,4172,6346
516,4223,6538
516,4359,6306
516,4490,6184
518,4387,5965
519,4387,5912
520,4387,5918
521,4119,6897
521,5374,6001
523,4119,6538
523,5374,6749
524,4177,6306
525,4177,6751
526,4387,6241
527,4387,6763
528,4121,6763
529,4121,6389
530,4387,6245
531,4121,6100
532,4121,6763
533,4225,5872
534,4225,6001
537,4225,6377
538,4225,6749
539,4122,6243
540,4350,6009
541,4350,6306
542,4178,6001
543,4178,5976
544,4388,6102
545,4225,6749
545,4432,6377
546,4350,6001
547,4388,6100
548,4225,6001
548,4432,6377
550,4227,6962
551,4352,6589
552,4228,5978
553,4388,6389
554,4388,6763
555,4355,6377
555,4971,6001
556,4389,5946
556,4567,6704
557,4178,5978
558,4229,5756
559,4389,5943
560,4355,5976
560,4971,6001
561,4389,6923
562,4178,6162
563,4389,6960
564,4178,6377
565,4178,6749
566,4389,6963
566,4567,6704
567,4355,6377
567,4971,6389
568,4229,5780
569,4355,6377
569,4971,6001
570,4229,5859
571,4355,6749
571,4971,6306
572,4229,5872
573,4229,5904
574,4229,5925
575,4392,5990
576,4178,6081
576,4409,6712
577,4393,6763
578,18746,6102
579,18746,6389
580,18746,6389
581,4178,6377
581,4409,5976
582,4508,6712
583,18746,6391
584,18746,6763
585,4229,5915
586,18746,6763
587,4229,5916
588,4229,5866
589,4178,5976
589,5261,6249
590,4229,5857
591,4178,5976
591,5261,6608
592,4395,5912
594,4395,5918
595,4178,6377
595,5261,6249
596,4395,6241
597,4178,6377
597,5261,6608
598,4395,6245
599,4178,6749
599,5261,6608
600,4396,5912
601,4397,6102
602,4397,6389
603,4397,6763
604,4397,6391
605,4180,6267
606,4180,6712
608,4180,5976
609,4404,6763
610,4404,6538
611,4404,6763
612,4404,6897
613,4404,6391
614,4404,6768
615,4180,6267
615,4251,5976
616,4180,6712
616,4251,5976
617,4180,6712
617,4251,6289
618,4405,6249
619,4449,6163
621,4406,6389
622,4449,6507
623,4520,6389
624,4521,6377
625,4521,6749
626,4521,6001
627,4521,6751
628,4521,6002
629,4407,5912
630,4522,6252
631,4522,6608
632,4410,6712
633,4526,6291
634,4410,5976
635,4410,6377
636,4526,5912
637,4526,6241
638,4410,6001
639,4526,6001
640,4409,6712
641,4409,6377
642,4526,6763
643,4261,6703
643,4675,6434
644,4528,6001
645,4410,6712
645,4465,6267
646,4528,6306
647,4261,5967
647,5534,6704
648,4261,6704
