Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
2,28.5,-1.354751525,16.124754481,0.0820927371,14.015380079,14.244203026,14.614336009,15.28639717,16.124754481,17.080085563,17.650351371,18.062853342,18.717998385,19.17447582
2,29.5,-1.443689692,16.064287623,0.0814877172,13.987225686,14.211749089,14.57530775,15.236711339,16.064287623,17.011074569,17.578297744,17.98961595,18.644718454,19.102553916
2,30.5,-1.53454192,16.005930007,0.0809324482,13.959502456,14.179917754,14.537204368,15.188481892,16.005930007,16.944952957,17.509648394,17.920192311,18.575990295,19.035779479
2,31.5,-1.626928093,15.94966631,0.0804261754,13.932212067,14.148711114,14.500027518,15.141705982,15.94966631,16.881683082,17.44434994,17.854517726,18.511734023,18.974066505
2,32.5,-1.720434829,15.895481969,0.0799681758,13.905355619,14.118130621,14.463778266,15.09638064,15.895481969,16.821228771,17.38235043,17.79252859,18.451869784,18.917328006
2,33.5,-1.814635262,15.843361791,0.0795577348,13.878934916,14.088177926,14.428457281,15.052502026,15.843361791,16.763553999,17.323598458,17.734162013,18.396318479,18.865477706
2,34.5,-1.909076262,15.793291456,0.0791941867,13.852951,14.058853902,14.394064562,15.01006617,15.793291456,16.708624489,17.268044363,17.679356461,18.345000987,18.818427839
2,35.5,-2.003296102,15.7452564,0.0788768946,13.827405171,14.030159316,14.360599593,14.969068383,15.7452564,16.656406634,17.215639512,17.62805146,18.29783876,18.776090501
2,36.5,-2.096828937,15.699241878,0.0786052551,13.80229888,14.002094761,14.328061331,14.929503293,15.699241878,16.606867606,17.166336426,17.580187701,18.254753806,18.738377432
2,37.5,-2.189211877,15.655232823,0.0783786964,13.777633819,13.974660728,14.296448228,14.891364776,15.655232823,16.559975226,17.120088721,17.535707053,18.215668786,18.705200107
2,38.5,-2.279991982,15.613213709,0.0781966743,13.753412006,13.947857672,14.26575827,14.854645913,15.613213709,16.515697825,17.076851036,17.494552559,18.180507113,18.67646985
2,39.5,-2.368732949,15.573168427,0.078058667,13.729635856,13.921686084,14.235989016,14.819338961,15.573168427,16.474004103,17.036578944,17.456668415,18.149193044,18.65209796
2,40.5,-2.455021314,15.53508019,0.077964169,13.706308243,13.89614655,14.207137655,14.785435347,15.53508019,16.43486298,16.99922885,17.421999927,18.121651762,18.631995848
2,41.5,-2.538471972,15.498931449,0.0779126837,13.683432543,13.871239805,14.179201053,14.752925677,15.498931449,16.398243466,16.964757881,17.390493465,18.097809453,18.616075182
2,42.5,-2.618732901,15.464703844,0.0779037156,13.661012663,13.846966782,14.152175814,14.721799767,15.464703844,16.364114526,16.933123775,17.362096391,18.077593361,18.604248022
2,43.5,-2.695488973,15.432378168,0.0779367628,13.639053056,13.823328646,14.126058333,14.692046682,15.432378168,16.33244497,16.904284765,17.336756988,18.06093184,18.596426962
2,44.5,-2.768464816,15.401934364,0.078011309,13.61755872,13.800326818,14.100844852,14.663654798,15.401934364,16.303203361,16.878199474,17.314424377,18.047754376,18.592525257
2,45.5,-2.837426693,15.373351541,0.0781268172,13.596535179,13.777962994,14.076531506,14.636611864,15.373351541,16.276357932,16.85482681,17.295048432,18.037991607,18.592456941
2,46.5,-2.902178205,15.346608415,0.0782827393,13.575988043,13.756238848,14.053114249,14.610905234,15.346608415,16.251877027,16.834126282,17.278579949,18.03157513,18.596136244
2,47.5,-2.962580386,15.321681814,0.0784784485,13.555924551,13.735157169,14.030589356,14.586521343,15.321681814,16.229727186,16.816056377,17.264969598,18.028438215,18.603480298
2,48.5,-3.018521987,15.298548972,0.0787133246,13.536351244,13.714720207,14.008952792,14.563446653,15.298548972,16.209875826,16.800576707,17.25416922,18.028514727,18.614405449
2,49.5,-3.069936555,15.277186179,0.0789866938,13.517275373,13.694930704,13.988200661,14.541667175,15.277186179,16.192289515,16.787646543,17.24613088,18.031739765,18.628829714
2,50.5,-3.116795864,15.257569204,0.0792978405,13.498704486,13.675791616,13.968329123,14.521168674,15.257569204,16.176934406,16.777225115,17.240807008,18.038049459,18.646672252
2,51.5,-3.159107331,15.239673384,0.079646006,13.480646369,13.657306081,13.949334411,14.501936743,15.239673384,16.163776261,16.769271588,17.238150343,18.047380913,18.667853383
2,52.5,-3.196911083,15.22347371,0.0800303887,13.463108985,13.639477387,13.931212834,14.48395686,15.22347371,16.152780494,16.763745045,17.238113886,18.059672159,18.692294602
2,53.5,-3.230276759,15.208944907,0.0804501449,13.446100408,13.622308935,13.913960785,14.467214453,15.208944907,16.143912214,16.760604487,17.240650859,18.074862097,18.719918588
2,54.5,-3.259300182,15.19606152,0.0809043905,13.429628773,13.605804206,13.897574735,14.451694946,15.19606152,16.137136281,16.759808835,17.245714673,18.092890445,18.75064919
2,55.5,-3.284099963,15.184797987,0.0813922027,13.413702215,13.589966725,13.882051234,14.437383801,15.184797987,16.132417356,16.761316945,17.25325891,18.11369768,18.784411416
2,56.5,-3.30481415,15.175128708,0.0819126232,13.39832882,13.574800023,13.867386898,14.424266556,15.175128708,16.129719963,16.765087627,17.263237299,18.137224989,18.821131412
2,57.5,-3.321596954,15.167028107,0.0824646608,13.383516577,13.560307612,13.853578403,14.412328855,15.167028107,16.129008536,16.771079664,17.275603717,18.163414224,18.86073644
2,58.5,-3.334615646,15.160470684,0.0830472946,13.36927334,13.546492949,13.840622473,14.40155647,15.160470684,16.130247479,16.779251844,17.290312174,18.192207855,18.903154848
2,59.5,-3.344047622,15.155431067,0.0836594775,13.355606788,13.53335941,13.828515869,14.391935319,15.155431067,16.133401214,16.789562983,17.307316823,18.223548932,18.948316041
