Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10
1,34.5,-0.215288396,94.808229231,0.0407584307,87.8669617158391,88.7030074483648,90.0093653632044,92.2448151465021,94.808229231,97.4587349014246,99.9216248249548,101.431770491437,102.427359159181,87.925518615,88.75452162,90.049855814,92.266447736,94.808229231,97.436367267,99.878480703,101.37588309,102.36308529,-0.0585568991608625,-0.051514171635219,-0.0404904507955592
1,35.5,-0.30385434,95.446369813,0.0406543122,88.4977409604969,89.3324183664647,90.6378640422833,92.8752486107173,95.446369813,98.1110826134703,100.592921223266,102.117447218662,103.12367158862,88.555967988,89.383661277,90.678164576,92.896801185,95.446369813,98.088745416,100.54978771,102.06153508,103.05934017,-0.0582270275031505,-0.0512429105353078,-0.0403005337166604
2,0,-1.295960857,49.286396118,0.0500855601,45.0948826086757,45.5756074032262,46.33933651097,47.6834546897351,49.286396118,51.0186957374673,52.7025011515363,53.7729087781385,54.4952736403688,45.162909833,45.635838394,46.387170556,47.709474476,49.286396118,50.99057602,52.647054279,53.700087087,54.410737265,-0.0680272243242541,-0.0602309907738103,-0.0478340450300436
2,0.5,-0.809249882,51.683580573,0.0468185454,47.4691579210798,47.9632397723035,48.7424816756963,50.0968551349334,51.683580573,53.3636233876347,54.9622227613846,55.9609422583569,56.6272806300056,47.534383895,48.020824897,48.788004718,50.121417134,51.683580573,53.33761678,54.911475354,55.894735537,56.550769417,-0.065225973920235,-0.0575851246964874,-0.0455230423037278
2,1.5,-0.050782985,55.286128126,0.0434439,50.9570056178233,51.4799569019402,52.2962687115733,53.6907813798356,55.286128126,56.9313607669117,58.4561236882012,59.3891073401307,60.0033777126647,51.01964,51.535031489,52.339530778,53.713867739,55.286128126,56.90755246,58.410255234,59.329738113,59.935128708,-0.0626343821766824,-0.0550745870598135,-0.0432620664267134
2,2.5,0.4768514065,58.093819061,0.0417161032,53.6292529172354,54.1790736390626,55.0314430575534,56.471252168873,58.093819061,59.7404469372429,61.2430575079682,62.1516557869816,62.7454699723747,53.69072443,54.232981481,55.073612719,56.493597708,58.093819061,59.717770015,61.199691781,62.095777566,62.681422939,-0.0614715127646122,-0.0539078419373951,-0.0421696614466214
2,3.5,0.8432996117,60.459807634,0.0407051733,55.8593993638303,56.4333494737886,57.3189243814216,58.803462078233,60.459807634,62.1232951300098,63.6264785034804,64.5287532586929,65.115773002808,55.920261956,56.486625782,57.360482472,58.825380215,60.459807634,62.101282478,63.584579223,64.474914791,65.054175518,-0.060862592169677,-0.0532763082113945,-0.0415580905784054
2,4.5,1.0975622571,62.536696555,0.0400797646,57.8047010891317,58.4003243697912,59.3163276815511,60.843862287441,62.536696555,64.2250712719925,65.7409589481044,66.6465255567482,67.2339774121665,57.865225014,58.453237303,59.357522295,60.865519378,62.536696555,64.203471238,65.699970356,66.593952156,67.173897425,-0.0605239248683134,-0.0529129332087876,-0.0411946134488659
2,5.5,1.2725096408,64.406327624,0.0396868449,59.5479929662389,60.1632307548084,61.1072583629727,62.6758970949149,64.406327624,66.1241785195238,67.6599521762148,68.5745160669867,69.1666761894822,59.608328605,60.215933245,61.14823459,62.697392581,64.406327624,66.10283931,67.61954037,68.522743969,69.107557234,-0.0603356387611171,-0.0527024901915567,-0.0409762270273291
2,6.5,1.3904288587,66.118415533,0.0394445547,61.1389312239288,61.7720801452771,62.7421028311681,64.3500534414942,66.118415533,67.8684993704711,69.4286842451886,70.3558690749937,70.9554545925054,61.199169779,61.824666986,62.782952509,64.371451347,66.118415533,67.847322656,69.388633588,70.304599568,70.896938948,-0.0602385550712228,-0.0525868407228742,-0.0408496778318721
2,7.5,1.466733925,67.705744192,0.0393047376,62.6099317860152,63.2595795382136,64.2538878034357,65.8995209587227,67.705744192,69.4897495002519,71.077310633283,72.0195245465041,72.6283474980047,62.670132056,63.312112994,64.294672297,65.920864637,67.705744192,69.468668385,71.037474737,71.968555223,72.570193101,-0.0602002699847617,-0.0525334557864454,-0.0407844935643027
2,8.5,1.5123019758,69.191236138,0.0392371101,63.9834808678867,64.648448283892,65.6655938984631,67.3474459293245,69.191236138,71.0101890533948,72.6271149509581,73.5860080640044,74.2053183684792,64.043682475,64.700970975,65.706355806,67.368765799,69.191236138,70.989156402,72.587390796,73.535196645,74.147355216,-0.0602016071133136,-0.0525226911080097,-0.0407619075369468
2,9.5,1.534950767,70.591639237,0.0392216648,65.275903473378,65.9551975697399,66.9939437112267,68.710701883648,70.591639237,72.4461366949443,74.0937751240296,75.0705008752525,75.701181126368,65.336134045,66.007739599,67.034713459,68.732019856,70.591639237,72.425118408,74.054088221,75.019744549,75.643286428,-0.0602305716220002,-0.0525420292601098,-0.0407697477733109
2,10.5,1.5403908751,71.919616727,0.0392446716,66.4994793475434,67.1922564646481,68.2515376575953,70.0020216928785,71.919616727,73.8099684773972,75.4892312988745,76.4846049480161,77.1272879859039,66.559758651,67.244839589,68.292337434,70.023353864,71.919616727,73.788939397,75.449526677,76.433827851,77.06937115,-0.0602793034565678,-0.0525831243519264,-0.040799776404711
2,11.5,1.5328528917,73.185010399,0.0392964203,67.6637114610333,68.3692485504204,69.4481390536453,71.2312834164726,73.185010399,75.1113294629031,76.8228234514385,77.8374228517723,78.4925662247927,67.724053903,68.421888758,69.488985286,71.252641773,73.185010399,75.090270756,76.783059926,77.786568125,78.43455934,-0.0603424419667107,-0.0526402075795573,-0.0408462323546814
2,12.5,1.5155094695,74.395643786,0.0393698746,68.7761269376622,69.4937991670582,70.591488102113,72.4063263933377,74.395643786,76.3579061719386,78.1020197343567,79.1362519137182,79.8041869250981,68.8365432,69.54650838,70.632393101,72.427719964,74.395643786,76.336803581,78.062166075,79.085276406,79.74603843,-0.0604162623378386,-0.0527092129417781,-0.0409049988869583
2,13.5,1.4907650275,75.557854397,0.0394598321,69.8428047380368,70.5720679121745,71.6878395982049,73.5334911968798,75.557854397,77.5559396350042,79.3329020440415,80.3870485957959,81.0680136645635,69.903302795,70.624855069,71.72881264,73.554926816,75.557854397,77.534782291,79.292934392,80.335919305,81.009684094,-0.0604980569632261,-0.0527871568255449,-0.0409730417950698
2,14.5,1.460458255,76.676858713,0.0395623818,70.8687355489754,71.6091122237936,72.742330546318,74.6179893515629,76.676858713,78.7105780499221,80.5205009757141,81.5947498562919,82.2889138487065,70.92932142,71.661984085,72.783378662,74.63947222,76.676858713,78.689357626,80.480400999,81.543441381,82.230372796,-0.0605858710245712,-0.0528718612063983,-0.0410481156820168
2,15.5,1.4260060091,77.757009856,0.0396745415,71.8580748144161,72.6091432273851,73.7592390943967,75.6641640294465,77.757009856,79.8261262130668,81.6690334451603,82.7635017421482,83.4709806623838,71.918753027,72.662104887,73.800367598,75.685698095,77.757009856,79.80483633,81.628787046,82.711994504,83.412204659,-0.0606782125839374,-0.0529616596149367,-0.041128503603332
2,16.5,1.3885070954,78.801984056,0.0397940102,72.8143250204203,73.5757102067571,74.7421714181467,76.6756784417595,78.801984056,80.9062264064347,82.782075541617,83.8968261114336,84.6176952930965,72.875098984,73.628765498,74.783384314,76.697266691,78.801984056,80.884862185,82.741671883,83.845105021,84.558666217,-0.060773963579706,-0.0530552912428846,-0.0412128958532918
2,17.5,1.3488181274,79.814918523,0.0399189943,73.7404700649121,74.5118366642775,75.6941996522115,77.6556549949202,79.814918523,81.9539923653731,83.8626908671008,84.9977446900603,85.7320478519033,73.801342316,74.564988436,75.735499921,77.677299663,79.814918523,81.932550098,83.822121667,84.945798173,85.67275177,-0.0608722510879147,-0.0531517717224546,-0.041300268788504
2,18.5,1.3076096543,80.798515316,0.0400480838,74.6390761233502,75.4201225170942,76.6179655680007,78.6067799947587,80.798515316,82.9721103965001,84.9135276607395,86.0688731589567,86.8166292394802,74.700048533,75.473372863,76.659355402,78.628482734,80.798515316,82.9505873,84.872786646,86.016692405,86.757055514,-0.0609724096497644,-0.0532503459057807,-0.0413898339993324
2,19.5,1.2654081486,81.755120921,0.0401801621,75.5123687493777,76.3028222430392,77.5157598866749,79.5313837937216,81.755120921,83.9629169618863,85.9368934784343,87.1124936280132,87.8737020094713,75.573442658,76.356172656,77.557240848,79.553145791,81.755120921,83.941310982,85.89597597,87.060072024,87.813842625,-0.0610739086222765,-0.0533504129608389,-0.041480961325135
2,20.5,1.2226277319,82.686788098,0.0403143396,76.3622926251531,77.161905465163,78.3895838006527,80.4315030102563,82.686788098,84.9284590774354,86.9348134608792,88.1306112849774,88.9052558357328,76.423468953,77.215356961,78.431156953,80.453325084,82.686788098,84.906768745,86.893716058,88.077943983,88.84510488,-0.0611763278469226,-0.0534514958369812,-0.0415731523473397
2,21.5,1.1795943654,83.59532461,0.040449904,77.1905585396518,77.9991045975868,79.2411973726709,81.3089295059433,83.59532461,85.8705419695333,87.9090763999459,89.1249992524607,89.9130514871924,77.251837863,78.052657806,79.282863379,81.330812178,83.59532461,85.848766288,87.867796734,89.072082827,89.85260475,-0.0612793233482023,-0.0535532084132342,-0.0416660063291232
2,22.5,1.1365644483,84.48233206,0.0405862829,77.9986807194647,78.8159527193617,80.0721580274065,82.1652493713631,84.48233206,86.7907671238583,88.861271598425,90.0972345401269,90.8986561175583,78.060063363,78.869607981,80.113917244,82.187192933,84.48233206,86.768905465,88.819808117,90.044066696,90.837910739,-0.0613826435352962,-0.0536552616383403,-0.0417592165935332
2,23.5,1.0937319466,85.349236238,0.0407230154,78.7880078334209,79.6138145644373,80.8838514673423,83.0018736150738,85.349236238,87.6905622578691,89.7928185194043,91.0487275197954,91.8634726380307,78.849493869,79.667571947,80.925703976,83.023878162,85.349236238,87.668614304,89.751170344,90.995306894,91.80242687,-0.0614860355790654,-0.0537573825626652,-0.041852508657712
2,24.5,1.0512729122,86.197316902,0.0408597268,79.5597432560035,80.3939091825267,81.6775173224022,83.8200669785362,86.197316902,88.5712095309212,90.7049915253405,91.980743693395,92.8087592076702,79.621332628,80.447768594,81.719463023,83.842132459,86.197316902,88.549175216,90.663158343,91.927069711,92.747412251,-0.0615893719965044,-0.0538594114733257,-0.0419457005977648
2,25.5,1.041951175,87.090263184,0.0411421607,80.3399836447861,81.1880425327028,82.4931841293221,84.6720881213213,87.090263184,89.5056243790664,91.6771799476171,92.9757373133401,93.818641483058,80.401976466,81.242257352,82.53540957,84.694303359,87.090263184,89.483434995,91.635047845,92.921676314,93.756849752,-0.0619928212139058,-0.0542148192972007,-0.0422254406779246
2,26.5,1.0125922357,87.957141816,0.0413493986,81.1133152483163,81.9722292694881,83.2945896917198,85.5036023508396,87.957141816,90.409819647466,92.6165822490131,93.9369267310196,94.7942625783029,81.175547591,82.026661812,83.336994398,85.525920341,87.957141816,90.387509496,92.574205841,93.882540822,94.732091198,-0.0622323426836715,-0.0544325425119325,-0.0424047062801804
2,27.5,0.9705419086,88.796018399,0.041500428,81.873342777578,82.7408446834455,84.0771733221153,86.3115062063632,88.796018399,91.2825803646764,93.5222656486659,94.8633893451586,95.7346447679359,81.935697297,82.795395955,84.11968453,86.333892447,88.796018399,91.260175654,93.479687761,94.808728194,95.67214661,-0.0623545194220299,-0.0545512715544731,-0.0425112078847434
2,28.5,0.9211299875,89.605511504,0.0416105082,82.6150644716935,83.489507360581,84.8374122236475,87.0934589510975,89.605511504,92.1231313812475,94.3937145442226,95.754640882198,96.6392759813587,82.677460512,83.544108884,84.879979086,87.115888884,89.605511504,92.100651733,94.350968218,95.69974364,96.576493386,-0.062396040306453,-0.0546015234190378,-0.0425668623524871
2,29.5,0.8682213922,90.38476689,0.0416917614,83.3347329303371,84.214958896625,85.5727280648047,87.8478269972245,90.38476689,92.9311262420439,95.2308178950554,96.6106146313602,97.5080806700992,83.397118194,84.269565847,85.615316793,87.870283865,90.38476689,92.908585984,95.187928163,96.555511712,97.445047115,-0.0623852636629181,-0.0546069503749891,-0.0425887281953266
2,30.5,0.8145441296,91.133417221,0.0417536804,84.0297181712464,84.9149438923273,86.2813902686523,88.5736188166775,91.133417221,93.7066211970039,96.0338473177221,97.4316380574577,98.3413938922658,84.092061839,84.969529426,86.323980126,88.596091904,91.133417221,93.684030406,95.990832619,97.376352533,98.278135283,-0.0623436677536091,-0.0545855336726646,-0.0425898573476644
2,31.5,0.7619579771,91.851543603,0.0418035615,84.698367159698,85.5880888605943,86.9624207755768,89.2704228999176,91.851543603,94.4500478190715,96.8034300986108,98.2184020761176,99.1399266631111,84.760654149,85.642639372,87.005000706,89.292906032,91.851543603,94.427413249,96.760303589,98.162951026,99.076462639,-0.0622869893020095,-0.0545505114057505,-0.0425799304231589
2,32.5,0.7116602284,92.539635196,0.0418468815,85.339869204126,86.2337857228041,87.6155015785346,89.9383458987549,92.539635196,95.1621825659166,97.5405191361178,98.971927774104,99.9047293169157,85.402095624,86.288297078,87.658067521,89.960836242,92.539635196,95.13950841,97.497289784,98.916323421,99.84107435,-0.0622264198740083,-0.0545113551958849,-0.0425659424654015
2,33.5,0.6643233788,93.198544285,0.041887626,85.9541339909327,86.8520842736115,88.2408864772002,90.5779493515219,93.198544285,95.8441117544952,98.2463607452525,99.693533549472,100.637157379525,86.016303532,86.906558813,88.283439218,90.600446442,93.198544285,95.821400259,98.203034205,99.637784172,100.57332166,-0.0621695410672629,-0.054474539388508,-0.0425527407998203
2,34.5,0.6202851017,93.829453915,0.0419285678,86.5416687989135,87.4435872314188,88.8393197753093,91.1901980158248,93.829453915,96.4972051892791,98.9224631324983,100.384796022932,101.338825855668,86.603789956,87.498031436,88.881863248,91.21270297,93.829453915,96.474457229,98.879042658,100.32890698,101.27481637,-0.0621211570865086,-0.0544442045812161,-0.0425434726906815
2,35.5,0.57955631,94.433822779,0.0419715144,87.1034887423911,88.0093655358739,89.4119588419568,91.7763934746218,94.433822779,97.1230720411817,99.5705625418812,101.047522729371,102.011586398342,87.165572617,88.063788194,89.454498803,91.798908385,94.433822779,97.10028751,99.527049543,100.99149704,101.94740747,-0.0620838746089305,-0.0544226581261285,-0.042539961043218
