"11","060593","001"
"33","007529","002"
"48","050095","001"
"158","019640","004"
"168","018780","001"
"173","018781","001"
"173","Other","000"
"175","017933","002"
"186","019717","001"
"186","019717","002"
"199","061885","001"
"200","061885","002"
"202","061764","001"
"203","061764","002"
"204","061411","001"
"205","061411","002"
"207","061392","002"
"213","084343","001"
"216","018063","001"
"217","018063","003"
"219","018063","005"
"220","018063","002"
"221","018063","004"
"222","017824","001"
"223","017823","001"
"224","009402","003"
"226","018647","001"
"227","018647","002"
"228","014901","001"
"234","009402","001"
"236","018709","001"
"237","009402","004"
"238","018709","002"
"240","018709","004"
"242","018709","003"
"244","060570","001"
"245","060570","001"
"248","010060","001"
"249","017371","001"
"250","017371","002"
"251","060517","001"
"254","018343","005"
"255","018343","002"
"260","060572","001"
"261","018343","001"
"262","018343","003"
"263","012041","001"
"265","012097","001"
"266","012104","UNK"
"267","084343","002"
"268","011601","006"
"269","011600","001"
"275","Other","000"
"276","050619","001"
"282","060575","001"
"287","060578","001"
"288","061147","004"
"290","012164","002"
"294","008662","001"
"297","061147","001"
"301","061410","001"
"302","061410","002"
"304","016118","001"
"315","007335","UNK"
"316","007335","004"
"319","087361","001"
"323","070533","001"
"327","060400","001"
"332","016295","001"
"337","011751","003"
"342","011751","001"
"342","089743","001"
"343","061394","002"
"344","061394","003"
"347","050473","UNK"
"362","017556","001"
"363","083943","001"
"365","018234","001"
"368","061886","002"
"368","062885","001"
"369","061886","003"
"369","062885","002"
"392","064021","002"
"452","017533","002"
"453","017533","001"
"458","017533","003"
"468","018662","002"
"469","018662","003"
"470","018557","001"
"472","018662","004"
"473","019591","001"
"480","009182","004"
"514","050585","001"
"515","050585","002"
"516","050585","003"
"516","062654","002"
"517","050585","004"
"521","050585","005"
"762","019558","001"
"768","011664","001"
"770","010104","003"
"781","016092","001"
"783","020180","001"
"787","011664","005"
"790","019558","002"
"793","017830","001"
"796","019778","001"
"796","019778","002"
"797","019778","002"
"800","019558","003"
"804","019558","004"
"815","019834","001"
"816","019834","002"
"823","019853","001"
"830","017555","001"
"831","017555","003"
"832","017555","002"
"833","019194","001"
"837","017871","001"
"841","019384","002"
"847","019221","001"
"848","019766","001"
"850","019643","003"
"851","019643","004"
"852","019766","002"
"853","019766","003"
"854","019810","001"
"855","019766","004"
"856","016096","001"
"860","017821","002"
"864","017911","002"
"866","019462","001"
"867","019462","002"
"869","011870","001"
"870","011145","005"
"873","012015","001"
"877","050682","001"
"878","016093","001"
"880","050517","001"
"881","050517","002"
"886","018332","001"
"887","018771","001"
"890","005619","001"
"892","016059","001"
"894","011145","UKN"
"896","018878","001"
"900","050587","001"
"901","050587","UNK"
"902","050587","UNK"
"903","050587","002"
"905","019527","001"
"906","019510","UNK"
"910","062757","001"
"911","062757","002"
"912","062756","001"
"913","062756","002"
"914","050630","001"
"925","000002","UNK"
"940","Other","000"
"944","Other","000"
"945","Other","000"
"946","Other","000"
"955","Other","000"
"956","Other","000"
"992","006695","001"
"1024","017078","002"
"1025","017078","003"
"1035","012342","003"
"1092","017794","002"
"1093","017794","003"
"1101","017794","001"
"1162","Other","000"
"1177","Other","000"
"1240","017802","001"
"1244","018782","001"
"1269","018917","001"
"1270","018917","003"
"1274","018972","001"
"1276","012093","001"
"1278","017892","003"
"1279","008697","003"
"1282","017892","001"
"1285","011153","004"
"1287","012427","002"
"1288","018276","001"
"1289","008697","001"
"1291","008126","001"
"1293","008697","002"
"1295","011153","002"
"1296","011839","004"
"1297","018276","002"
"1298","011153","001"
"1300","011839","001"
"1302","011153","003"
"1303","018276","003"
"1304","018276","004"
"1305","087318","001"
"1307","060272","001"
"1308","011856","003"
"1312","017498","001"
"1314","017498","002"
"1315","009900","001"
"1318","009986","007"
"1320","017498","003"
"1321","011153","006"
"1322","011856","004"
"1324","009986","006"
"1325","050162","002"
"1327","017968","001"
"1328","017563","004"
"1329","004570","001"
"1330","085470","003"
"1331","011757","002"
"1333","011757","001"
"1334","011839","003"
"1335","004570","002"
"1336","018766","003"
"1337","011757","004"
"1338","004570","003"
"1339","050162","001"
"1341","020051","001"
"1342","085635","002"
"1343","020051","002"
"1344","016793","001"
"1345","009986","008"
"1346","050162","003"
"1348","085635","003"
"1349","016793","002"
"1354","050317","001"
"1355","050347","001"
"1355","Other","000"
"1358","012541","003"
"1359","011856","UNK"
"1362","050441","001"
"1365","020246","001"
"1367","011856","UNK"
"1368","062644","001"
"1369","011856","UNK"
"1370","050441","001"
"1372","011856","007"
"1373","009866","001"
"1374","017810","001"
"1375","050577","001"
"1376","017989","UNK"
"1377","050441","001"
"1380","050441","001"
"1381","077248","UNK"
"1384","050537","001"
"1385","062803","UNK"
"1386","018484","UNK"
