"173385","135","OTHER"
"173396","135","OTHER"
"173397","135","OTHER"
"173397","135","OTHER"
"174163","135","OTHER"
"175012","135","OTHER"
"175176","135","OTHER"
"175329","135","OTHER"
"175936","135","OTHER"
"305072","135","OTHER"
"310637","135","OTHER"
"176440","135","OTHER"
"272176","135","OTHER"
"176359","135","OTHER"
"272173","135","OTHER"
"176593","135","OTHER"
"177406","135","OTHER"
"177413","135","OTHER"
"177576","135","OTHER"
"177584","135","OTHER"
"177585","135","OTHER"
"177694","135","OTHER"
"178604","135","OTHER"
"178611","135","OTHER"
"179149","135","OTHER"
"179448","135","OTHER"
"180680","135","OTHER"
"181545","135","OTHER"
"302559","135","OTHER"
"303046","135","OTHER"
"313637","135","OTHER"
"313650","135","OTHER"
"181440","135","OTHER"
"165825","135","OTHER"
"182588","135","OTHER"
"182741","135","OTHER"
"182742","135","OTHER"
"182752","135","OTHER"
"182762","135","OTHER"
"182766","135","OTHER"
"182771","135","OTHER"
"182772","135","OTHER"
"182775","135","OTHER"
"182780","135","OTHER"
"182783","135","OTHER"
"182786","135","OTHER"
"182789","135","OTHER"
"182790","135","OTHER"
"182792","135","OTHER"
"182804","135","OTHER"
"182805","135","OTHER"
"182806","135","OTHER"
"182811","135","OTHER"
"182812","135","OTHER"
"182815","135","OTHER"
"182817","135","OTHER"
"182830","135","OTHER"
"182833","135","OTHER"
"182837","135","OTHER"
"182838","135","OTHER"
"182850","135","OTHER"
"182852","135","OTHER"
"182853","135","OTHER"
"182855","135","OTHER"
"182857","135","OTHER"
"182858","135","OTHER"
"182859","135","OTHER"
"182860","135","OTHER"
"182861","135","OTHER"
"182864","135","OTHER"
"182866","135","OTHER"
"182871","135","OTHER"
"182873","135","OTHER"
"182874","135","OTHER"
"182876","135","OTHER"
"182877","135","OTHER"
"182878","135","OTHER"
"182879","135","OTHER"
"182880","135","OTHER"
"182881","135","OTHER"
"182890","135","OTHER"
"182892","135","OTHER"
"182893","135","OTHER"
"182901","135","OTHER"
"182902","135","OTHER"
"183383","135","OTHER"
"183387","135","OTHER"
"183390","135","OTHER"
"183392","135","OTHER"
"183403","135","OTHER"
"183404","135","OTHER"
"183405","135","OTHER"
"183406","135","OTHER"
"183407","135","OTHER"
"183408","135","OTHER"
"183410","135","OTHER"
"183411","135","OTHER"
"183412","135","OTHER"
"183413","135","OTHER"
"183414","135","OTHER"
"183415","135","OTHER"
"183416","135","OTHER"
"183417","135","OTHER"
"183420","135","OTHER"
"183421","135","OTHER"
"183424","135","OTHER"
"183426","135","OTHER"
"183431","135","OTHER"
"183432","135","OTHER"
"183433","135","OTHER"
"183435","135","OTHER"
"183437","135","OTHER"
"183439","135","OTHER"
"183440","135","OTHER"
"183441","135","OTHER"
"183442","135","OTHER"
"183450","135","OTHER"
"183454","135","OTHER"
"183455","135","OTHER"
"253706","135","OTHER"
"33476","135","OTHER"
"183958","135","OTHER"
"184659","135","OTHER"
"184676","135","OTHER"
"184769","135","OTHER"
"184877","135","OTHER"
"184879","135","OTHER"
"184880","135","OTHER"
"184884","135","OTHER"
"184885","135","OTHER"
"184886","135","OTHER"
"185752","135","OTHER"
"185753","135","OTHER"
"185778","135","OTHER"
"184881","135","OTHER"
"184883","135","OTHER"
"184882","135","OTHER"
"184772","135","OTHER"
"186210","135","OTHER"
"186214","135","OTHER"
"186215","135","OTHER"
